x,Predict,Actual
-4,0.0374001,0.00496485
-3.98,0.0362635,0.00532798
-3.96,0.0351535,0.00571515
-3.94,0.0340728,0.00612775
-3.92,0.0330224,0.00656723
-3.9,0.0320047,0.00703511
-3.88,0.0310221,0.00753299
-3.86,0.0300763,0.00806254
-3.84,0.0291699,0.00862547
-3.82,0.0283056,0.00922361
-3.8,0.0274857,0.00985884
-3.78,0.0267133,0.0105331
-3.76,0.0259907,0.0112485
-3.74,0.0253218,0.0120072
-3.72,0.0247093,0.0128113
-3.7,0.0241562,0.0136631
-3.68,0.0236666,0.014565
-3.66,0.023244,0.0155196
-3.64,0.0228924,0.0165293
-3.62,0.0226156,0.0175968
-3.6,0.0224178,0.0187248
-3.58,0.0223037,0.0199161
-3.56,0.0222782,0.0211738
-3.54,0.0223454,0.0225007
-3.52,0.0225108,0.0239
-3.5,0.0227799,0.0253749
-3.48,0.0231576,0.0269286
-3.46,0.0236498,0.0285645
-3.44,0.024263,0.0302861
-3.42,0.0250028,0.0320969
-3.4,0.0258754,0.0340006
-3.38,0.0268878,0.0360007
-3.36,0.0280468,0.0381013
-3.34,0.0293592,0.0403059
-3.32,0.0308321,0.0426188
-3.3,0.0324737,0.0450437
-3.28,0.034291,0.0475849
-3.26,0.0362917,0.0502464
-3.24,0.0384847,0.0530325
-3.22,0.0408769,0.0559473
-3.2,0.0434774,0.0589953
-3.18,0.0462945,0.0621807
-3.16,0.0493364,0.0655078
-3.14,0.0526116,0.0689812
-3.12,0.0561287,0.0726052
-3.1,0.0598966,0.0763842
-3.08,0.0639231,0.0803227
-3.06,0.0682169,0.084425
-3.04,0.0727862,0.0886956
-3.02,0.0776386,0.0931389
-3,0.0827821,0.0977592
-2.98,0.0882243,0.102561
-2.96,0.0939717,0.107548
-2.94,0.100031,0.112725
-2.92,0.106408,0.118095
-2.9,0.113108,0.123663
-2.88,0.120136,0.129433
-2.86,0.127496,0.135409
-2.84,0.13519,0.141593
-2.82,0.143222,0.14799
-2.8,0.151591,0.154602
-2.78,0.160298,0.161433
-2.76,0.169341,0.168486
-2.74,0.178719,0.175763
-2.72,0.188427,0.183267
-2.7,0.19846,0.191
-2.68,0.208813,0.198964
-2.66,0.219476,0.20716
-2.64,0.230441,0.21559
-2.62,0.241697,0.224256
-2.6,0.253231,0.233157
-2.58,0.265029,0.242294
-2.56,0.277076,0.251667
-2.54,0.289355,0.261276
-2.52,0.301848,0.271119
-2.5,0.314536,0.281196
-2.48,0.327397,0.291505
-2.46,0.340412,0.302044
-2.44,0.353555,0.31281
-2.42,0.366804,0.323801
-2.4,0.380135,0.335012
-2.38,0.393523,0.34644
-2.36,0.406942,0.358081
-2.34,0.420367,0.369928
-2.32,0.433772,0.381977
-2.3,0.447131,0.394222
-2.28,0.460421,0.406655
-2.26,0.473615,0.41927
-2.24,0.486689,0.432059
-2.22,0.499619,0.445013
-2.2,0.512385,0.458124
-2.18,0.524962,0.471382
-2.16,0.537331,0.484777
-2.14,0.549472,0.498298
-2.12,0.561368,0.511935
-2.1,0.573001,0.525675
-2.08,0.584357,0.539505
-2.06,0.59542,0.553415
-2.04,0.60618,0.567389
-2.02,0.616625,0.581414
-2,0.626746,0.595475
-1.98,0.636534,0.609558
-1.96,0.645984,0.623648
-1.94,0.655091,0.637727
-1.92,0.66385,0.651781
-1.9,0.672259,0.665793
-1.88,0.680318,0.679744
-1.86,0.688026,0.693619
-1.84,0.695384,0.707398
-1.82,0.702395,0.721065
-1.8,0.709061,0.7346
-1.78,0.715387,0.747985
-1.76,0.721376,0.761202
-1.74,0.727035,0.774231
-1.72,0.732369,0.787054
-1.7,0.737386,0.799651
-1.68,0.742091,0.812003
-1.66,0.746492,0.82409
-1.64,0.750597,0.835895
-1.62,0.754415,0.847398
-1.6,0.757952,0.858579
-1.58,0.761218,0.869421
-1.56,0.764221,0.879905
-1.54,0.766969,0.890012
-1.52,0.769471,0.899725
-1.5,0.771735,0.909027
-1.48,0.773771,0.9179
-1.46,0.775585,0.926328
-1.44,0.777188,0.934296
-1.42,0.778585,0.941787
-1.4,0.779787,0.948786
-1.38,0.7808,0.955281
-1.36,0.781632,0.961257
-1.34,0.782291,0.966703
-1.32,0.782783,0.971605
-1.3,0.783116,0.975954
-1.28,0.783297,0.97974
-1.26,0.783333,0.982952
-1.24,0.783228,0.985585
-1.22,0.782991,0.98763
-1.2,0.782626,0.989081
-1.18,0.782139,0.989933
-1.16,0.781537,0.990184
-1.14,0.780824,0.98983
-1.12,0.780004,0.988869
-1.1,0.779084,0.987302
-1.08,0.778067,0.98513
-1.06,0.776959,0.982355
-1.04,0.775762,0.978979
-1.02,0.774483,0.975009
-1,0.773123,0.970449
-0.98,0.771687,0.965307
-0.96,0.770179,0.959591
-0.94,0.768601,0.953311
-0.92,0.766958,0.946478
-0.9,0.765252,0.939103
-0.88,0.763485,0.931201
-0.86,0.761662,0.922785
-0.84,0.759783,0.91387
-0.82,0.757852,0.904475
-0.8,0.755872,0.894616
-0.78,0.753844,0.884312
-0.76,0.75177,0.873583
-0.74,0.749653,0.86245
-0.72,0.747494,0.850935
-0.7,0.745296,0.839059
-0.68,0.74306,0.826848
-0.66,0.740787,0.814324
-0.64,0.73848,0.801513
-0.62,0.736139,0.78844
-0.6,0.733766,0.775131
-0.58,0.731363,0.761613
-0.56,0.72893,0.747913
-0.54,0.726469,0.734059
-0.52,0.723981,0.720077
-0.5,0.721467,0.705998
-0.48,0.718928,0.691847
-0.46,0.716365,0.677654
-0.44,0.713778,0.663447
-0.42,0.71117,0.649255
-0.4,0.708539,0.635104
-0.38,0.705888,0.621024
-0.36,0.703217,0.607041
-0.34,0.700527,0.593184
-0.32,0.697817,0.579478
-0.3,0.69509,0.565951
-0.28,0.692345,0.552627
-0.26,0.689583,0.539532
-0.24,0.686805,0.526691
-0.22,0.68401,0.514126
-0.2,0.6812,0.501862
-0.18,0.678375,0.489919
-0.16,0.675534,0.478318
-0.14,0.67268,0.46708
-0.12,0.669812,0.456223
-0.1,0.666929,0.445766
-0.08,0.664034,0.435723
-0.06,0.661126,0.426112
-0.04,0.658204,0.416946
-0.02,0.65527,0.408238
0,0.652325,0.4
0.02,0.649366,0.392242
0.04,0.646397,0.384972
0.06,0.643416,0.378199
0.08,0.640423,0.371928
0.1,0.637419,0.366165
0.12,0.634405,0.360912
0.14,0.631379,0.356172
0.16,0.628343,0.351946
0.18,0.625296,0.348233
0.2,0.622239,0.34503
0.22,0.619172,0.342334
0.24,0.616095,0.340141
0.26,0.613007,0.338445
0.28,0.60991,0.337238
0.3,0.606803,0.336511
0.32,0.603687,0.336255
0.34,0.600561,0.33646
0.36,0.597425,0.337112
0.38,0.59428,0.338199
0.4,0.591126,0.339707
0.42,0.587963,0.34162
0.44,0.58479,0.343924
0.46,0.581608,0.3466
0.48,0.578417,0.349631
0.5,0.575218,0.352999
0.52,0.572009,0.356684
0.54,0.568791,0.360668
0.56,0.565565,0.364929
0.58,0.56233,0.369447
0.6,0.559086,0.374201
0.62,0.555833,0.379169
0.64,0.552572,0.38433
0.66,0.549302,0.389661
0.68,0.546024,0.39514
0.7,0.542737,0.400745
0.72,0.539441,0.406453
0.74,0.536137,0.412243
0.76,0.532825,0.418092
0.78,0.529504,0.423979
0.8,0.526174,0.42988
0.82,0.522836,0.435776
0.84,0.51949,0.441644
0.86,0.516135,0.447464
0.88,0.512772,0.453216
0.9,0.509401,0.45888
0.92,0.506021,0.464436
0.94,0.502633,0.469867
0.96,0.499237,0.475153
0.98,0.495833,0.480278
1,0.49242,0.485225
1.02,0.488999,0.489977
1.04,0.48557,0.494521
1.06,0.482132,0.498841
1.08,0.478686,0.502924
1.1,0.475232,0.506757
1.12,0.47177,0.510329
1.14,0.4683,0.513629
1.16,0.464821,0.516646
1.18,0.461334,0.519372
1.2,0.457839,0.521798
1.22,0.454336,0.523918
1.24,0.450825,0.525724
1.26,0.447306,0.527212
1.28,0.443778,0.528377
1.3,0.440242,0.529215
1.32,0.436698,0.529723
1.34,0.433146,0.5299
1.36,0.429586,0.529745
1.38,0.426017,0.529257
1.4,0.422441,0.528438
1.42,0.418856,0.527288
1.44,0.415264,0.525811
1.46,0.411663,0.524008
1.48,0.408054,0.521884
1.5,0.404436,0.519444
1.52,0.400811,0.516692
1.54,0.397178,0.513634
1.56,0.393536,0.510276
1.58,0.389887,0.506626
1.6,0.386229,0.502691
1.62,0.382563,0.498479
1.64,0.37889,0.493999
1.66,0.375208,0.489258
1.68,0.371518,0.484268
1.7,0.367819,0.479036
1.72,0.364113,0.473574
1.74,0.360399,0.467891
1.76,0.356676,0.461998
1.78,0.352946,0.455906
1.8,0.349207,0.449626
1.82,0.345461,0.443168
1.84,0.341706,0.436545
1.86,0.337943,0.429767
1.88,0.334172,0.422845
1.9,0.330394,0.415791
1.92,0.326607,0.408617
1.94,0.322811,0.401334
1.96,0.319009,0.393952
1.98,0.315198,0.386483
2,0.311378,0.378939
2.02,0.307551,0.371329
2.04,0.303716,0.363666
2.06,0.299873,0.355958
2.08,0.296021,0.348218
2.1,0.292162,0.340454
2.12,0.288295,0.332676
2.14,0.284419,0.324895
2.16,0.280536,0.31712
2.18,0.276645,0.309359
2.2,0.272745,0.301622
2.22,0.268838,0.293917
2.24,0.264923,0.286251
2.26,0.260999,0.278634
2.28,0.257068,0.271072
2.3,0.253129,0.263572
2.32,0.249182,0.256141
2.34,0.245226,0.248786
2.36,0.241263,0.241513
2.38,0.237292,0.234327
2.4,0.233313,0.227233
2.42,0.229326,0.220238
2.44,0.225331,0.213345
2.46,0.221328,0.206559
2.48,0.217317,0.199884
2.5,0.213298,0.193323
2.52,0.209271,0.186879
2.54,0.205237,0.180557
2.56,0.201194,0.174357
2.58,0.197144,0.168284
2.6,0.193086,0.162338
2.62,0.189019,0.156522
2.64,0.184945,0.150837
2.66,0.180863,0.145284
2.68,0.176774,0.139864
2.7,0.172676,0.134577
2.72,0.16857,0.129425
2.74,0.164457,0.124407
2.76,0.160336,0.119524
2.78,0.156207,0.114774
2.8,0.15207,0.110158
2.82,0.147925,0.105674
2.84,0.143773,0.101323
2.86,0.139613,0.0971016
2.88,0.135445,0.0930103
2.9,0.131269,0.0890472
2.92,0.127086,0.0852109
2.94,0.122894,0.0814995
2.96,0.118695,0.0779115
2.98,0.114489,0.0744449
3,0.110274,0.0710976
3.02,0.106052,0.0678676
3.04,0.101822,0.0647528
3.06,0.0975848,0.0617508
