x,Predict,Actual
-4,-0.0381569,0.00496485
-3.98,-0.0363096,0.00532798
-3.96,-0.0344208,0.00571515
-3.94,-0.03249,0.00612775
-3.92,-0.0305158,0.00656723
-3.9,-0.0284973,0.00703511
-3.88,-0.0264336,0.00753299
-3.86,-0.0243238,0.00806254
-3.84,-0.0221664,0.00862547
-3.82,-0.0199606,0.00922361
-3.8,-0.0177052,0.00985884
-3.78,-0.0153993,0.0105331
-3.76,-0.0130416,0.0112485
-3.74,-0.0106308,0.0120072
-3.72,-0.00816607,0.0128113
-3.7,-0.00564599,0.0136631
-3.68,-0.0030694,0.014565
-3.66,-0.000434995,0.0155196
-3.64,0.0022583,0.0165293
-3.62,0.00501204,0.0175968
-3.6,0.00782752,0.0187248
-3.58,0.0107058,0.0199161
-3.56,0.0136485,0.0211738
-3.54,0.016657,0.0225007
-3.52,0.0197325,0.0239
-3.5,0.0228764,0.0253749
-3.48,0.0260904,0.0269286
-3.46,0.0293759,0.0285645
-3.44,0.0327343,0.0302861
-3.42,0.036167,0.0320969
-3.4,0.0396758,0.0340006
-3.38,0.043262,0.0360007
-3.36,0.0469272,0.0381013
-3.34,0.0506732,0.0403059
-3.32,0.0545017,0.0426188
-3.3,0.0584139,0.0450437
-3.28,0.0624115,0.0475849
-3.26,0.0664966,0.0502464
-3.24,0.0706706,0.0530325
-3.22,0.0749351,0.0559473
-3.2,0.0792922,0.0589953
-3.18,0.0837432,0.0621807
-3.16,0.08829,0.0655078
-3.14,0.0929346,0.0689812
-3.12,0.0976785,0.0726052
-3.1,0.102524,0.0763842
-3.08,0.107471,0.0803227
-3.06,0.112524,0.084425
-3.04,0.117684,0.0886956
-3.02,0.122951,0.0931389
-3,0.128329,0.0977592
-2.98,0.133819,0.102561
-2.96,0.139423,0.107548
-2.94,0.145142,0.112725
-2.92,0.150979,0.118095
-2.9,0.156936,0.123663
-2.88,0.163013,0.129433
-2.86,0.169213,0.135409
-2.84,0.175538,0.141593
-2.82,0.181989,0.14799
-2.8,0.188568,0.154602
-2.78,0.195277,0.161433
-2.76,0.202117,0.168486
-2.74,0.20909,0.175763
-2.72,0.216198,0.183267
-2.7,0.223442,0.191
-2.68,0.230824,0.198964
-2.66,0.238345,0.20716
-2.64,0.246006,0.21559
-2.62,0.253809,0.224256
-2.6,0.261756,0.233157
-2.58,0.269846,0.242294
-2.56,0.278082,0.251667
-2.54,0.286464,0.261276
-2.52,0.294994,0.271119
-2.5,0.303671,0.281196
-2.48,0.312497,0.291505
-2.46,0.321473,0.302044
-2.44,0.330598,0.31281
-2.42,0.339874,0.323801
-2.4,0.3493,0.335012
-2.38,0.358876,0.34644
-2.36,0.368602,0.358081
-2.34,0.378478,0.369928
-2.32,0.388503,0.381977
-2.3,0.398677,0.394222
-2.28,0.408998,0.406655
-2.26,0.419465,0.41927
-2.24,0.430078,0.432059
-2.22,0.440833,0.445013
-2.2,0.45173,0.458124
-2.18,0.462767,0.471382
-2.16,0.473939,0.484777
-2.14,0.485246,0.498298
-2.12,0.496683,0.511935
-2.1,0.508247,0.525675
-2.08,0.519935,0.539505
-2.06,0.531741,0.553415
-2.04,0.543662,0.567389
-2.02,0.555692,0.581414
-2,0.567826,0.595475
-1.98,0.580058,0.609558
-1.96,0.592381,0.623648
-1.94,0.604788,0.637727
-1.92,0.617272,0.651781
-1.9,0.629825,0.665793
-1.88,0.642438,0.679744
-1.86,0.655102,0.693619
-1.84,0.667807,0.707398
-1.82,0.680543,0.721065
-1.8,0.6933,0.7346
-1.78,0.706064,0.747985
-1.76,0.718823,0.761202
-1.74,0.731565,0.774231
-1.72,0.744276,0.787054
-1.7,0.756941,0.799651
-1.68,0.769544,0.812003
-1.66,0.78207,0.82409
-1.64,0.794502,0.835895
-1.62,0.806821,0.847398
-1.6,0.81901,0.858579
-1.58,0.831048,0.869421
-1.56,0.842917,0.879905
-1.54,0.854594,0.890012
-1.52,0.866059,0.899725
-1.5,0.877289,0.909027
-1.48,0.88826,0.9179
-1.46,0.898949,0.926328
-1.44,0.90933,0.934296
-1.42,0.919379,0.941787
-1.4,0.92907,0.948786
-1.38,0.938376,0.955281
-1.36,0.947269,0.961257
-1.34,0.955724,0.966703
-1.32,0.963711,0.971605
-1.3,0.971204,0.975954
-1.28,0.978173,0.97974
-1.26,0.984591,0.982952
-1.24,0.99043,0.985585
-1.22,0.995662,0.98763
-1.2,1.00026,0.989081
-1.18,1.0042,0.989933
-1.16,1.00745,0.990184
-1.14,1.00999,0.98983
-1.12,1.01179,0.988869
-1.1,1.01284,0.987302
-1.08,1.01311,0.98513
-1.06,1.01258,0.982355
-1.04,1.01124,0.978979
-1.02,1.00908,0.975009
-1,1.00607,0.970449
-0.98,1.00221,0.965307
-0.96,0.997504,0.959591
-0.94,0.991936,0.953311
-0.92,0.985512,0.946478
-0.9,0.978236,0.939103
-0.88,0.970116,0.931201
-0.86,0.961163,0.922785
-0.84,0.951394,0.91387
-0.82,0.940828,0.904475
-0.8,0.92949,0.894616
-0.78,0.917408,0.884312
-0.76,0.904613,0.873583
-0.74,0.891142,0.86245
-0.72,0.877037,0.850935
-0.7,0.862338,0.839059
-0.68,0.847095,0.826848
-0.66,0.831357,0.814324
-0.64,0.815177,0.801513
-0.62,0.798612,0.78844
-0.6,0.781718,0.775131
-0.58,0.764555,0.761613
-0.56,0.747183,0.747913
-0.54,0.729665,0.734059
-0.52,0.712061,0.720077
-0.5,0.694434,0.705998
-0.48,0.676844,0.691847
-0.46,0.659352,0.677654
-0.44,0.642016,0.663447
-0.42,0.624894,0.649255
-0.4,0.608038,0.635104
-0.38,0.591502,0.621024
-0.36,0.575334,0.607041
-0.34,0.559579,0.593184
-0.32,0.544281,0.579478
-0.3,0.529476,0.565951
-0.28,0.515201,0.552627
-0.26,0.501486,0.539532
-0.24,0.488358,0.526691
-0.22,0.47584,0.514126
-0.2,0.463952,0.501862
-0.18,0.452707,0.489919
-0.16,0.442119,0.478318
-0.14,0.432194,0.46708
-0.12,0.422937,0.456223
-0.1,0.414351,0.445766
-0.08,0.40643,0.435723
-0.06,0.399172,0.426112
-0.04,0.392568,0.416946
-0.02,0.386607,0.408238
0,0.381279,0.4
0.02,0.376568,0.392242
0.04,0.372458,0.384972
0.06,0.36893,0.378199
0.08,0.365966,0.371928
0.1,0.363544,0.366165
0.12,0.361645,0.360912
0.14,0.360243,0.356172
0.16,0.359319,0.351946
0.18,0.358847,0.348233
0.2,0.358805,0.34503
0.22,0.359168,0.342334
0.24,0.359912,0.340141
0.26,0.361014,0.338445
0.28,0.362449,0.337238
0.3,0.364194,0.336511
0.32,0.366227,0.336255
0.34,0.368524,0.33646
0.36,0.371063,0.337112
0.38,0.373823,0.338199
0.4,0.376782,0.339707
0.42,0.379919,0.34162
0.44,0.383214,0.343924
0.46,0.386649,0.3466
0.48,0.390205,0.349631
0.5,0.393863,0.352999
0.52,0.397606,0.356684
0.54,0.401418,0.360668
0.56,0.405281,0.364929
0.58,0.409183,0.369447
0.6,0.413107,0.374201
0.62,0.41704,0.379169
0.64,0.420968,0.38433
0.66,0.424879,0.389661
0.68,0.42876,0.39514
0.7,0.4326,0.400745
0.72,0.436389,0.406453
0.74,0.440115,0.412243
0.76,0.44377,0.418092
0.78,0.447343,0.423979
0.8,0.450826,0.42988
0.82,0.454212,0.435776
0.84,0.457492,0.441644
0.86,0.460658,0.447464
0.88,0.463705,0.453216
0.9,0.466625,0.45888
0.92,0.469414,0.464436
0.94,0.472064,0.469867
0.96,0.474571,0.475153
0.98,0.47693,0.480278
1,0.479137,0.485225
1.02,0.481188,0.489977
1.04,0.483078,0.494521
1.06,0.484804,0.498841
1.08,0.486364,0.502924
1.1,0.487753,0.506757
1.12,0.48897,0.510329
1.14,0.490012,0.513629
1.16,0.490878,0.516646
1.18,0.491564,0.519372
1.2,0.492071,0.521798
1.22,0.492396,0.523918
1.24,0.492538,0.525724
1.26,0.492497,0.527212
1.28,0.492273,0.528377
1.3,0.491863,0.529215
1.32,0.491269,0.529723
1.34,0.490491,0.5299
1.36,0.489529,0.529745
1.38,0.488382,0.529257
1.4,0.487053,0.528438
1.42,0.485541,0.527288
1.44,0.483848,0.525811
1.46,0.481975,0.524008
1.48,0.479924,0.521884
1.5,0.477695,0.519444
