x,y,Predict,Actual,loss^2
-10,-10,0.0906589,0.00295959,0.00769117
-10,-9.8,0.0814904,0.00203441,0.00631325
-10,-9.6,0.0721799,0.000987892,0.0050683
-10,-9.4,0.0629547,-0.000143389,0.00398136
-10,-9.2,0.0540513,-0.00131801,0.00306576
-10,-9,0.0456995,-0.00249112,0.00232233
-10,-8.8,0.0381033,-0.00361599,0.0017405
-10,-8.6,0.0314267,-0.00464567,0.00130121
-10,-8.4,0.0257832,-0.00553476,0.000980814
-10,-8.2,0.0212317,-0.00624119,0.000754757
-10,-8,0.017776,-0.0067279,0.000600442
-10,-7.8,0.0153706,-0.00696447,0.000498856
-10,-7.6,0.0139301,-0.00692854,0.000435082
-10,-7.4,0.0133417,-0.00660698,0.000397948
-10,-7.2,0.0134747,-0.00599683,0.000379141
-10,-7,0.0141934,-0.00510592,0.000372464
-10,-6.8,0.0153645,-0.00395306,0.000373169
-10,-6.6,0.0168626,-0.00256795,0.000377548
-10,-6.4,0.0185757,-0.000990708,0.000382843
-10,-6.2,0.0204071,0.000729072,0.000387224
-10,-6,0.0222758,0.00253347,0.00038976
-10,-5.8,0.0241144,0.00435782,0.000390321
-10,-5.6,0.0258718,0.00613254,0.000389636
-10,-5.4,0.0275112,0.00778519,0.000389117
-10,-5.2,0.0290102,0.00924265,0.000390755
-10,-5,0.0303639,0.0104335,0.000397221
-10,-4.8,0.0315883,0.0112903,0.000412009
-10,-4.6,0.0327277,0.0117519,0.000439984
-10,-4.4,0.0338624,0.0117657,0.000488261
-10,-4.2,0.0351176,0.0112894,0.000567784
-10,-4,0.0366745,0.0102929,0.000695988
-10,-3.8,0.0387672,0.00875957,0.000900459
-10,-3.6,0.0416648,0.00668723,0.00122343
-10,-3.4,0.0456214,0.00408882,0.00172495
-10,-3.2,0.0507774,0.0009924,0.00247855
-10,-3,0.0570285,-0.00255908,0.00355068
-10,-2.8,0.0638845,-0.00650859,0.00495519
-10,-2.6,0.0704055,-0.0107863,0.0065921
-10,-2.4,0.0752981,-0.0153111,0.00821002
-10,-2.2,0.0771989,-0.0199927,0.0094462
-10,-2,0.0750557,-0.0247339,0.00995796
-10,-1.8,0.0684392,-0.029433,0.00957897
-10,-1.6,0.0576469,-0.0339868,0.00839673
-10,-1.4,0.0435836,-0.0382932,0.00670382
-10,-1.2,0.0275073,-0.0422541,0.00486665
-10,-1,0.0107646,-0.0457778,0.00319704
-10,-0.8,-0.00540805,-0.0487821,0.00188131
-10,-0.6,-0.0199904,-0.0511962,0.000973802
-10,-0.4,-0.0321953,-0.052963,0.000431294
-10,-0.2,-0.0414447,-0.0540402,0.000158647
-10,0,-0.047318,-0.0544021,5.01849e-05
-10,0.2,-0.0495125,-0.0540402,2.04996e-05
-10,0.4,-0.0478258,-0.052963,2.63902e-05
-10,0.6,-0.0421652,-0.0511962,8.15604e-05
-10,0.8,-0.0325989,-0.0487821,0.000261898
-10,1,-0.0194255,-0.0457778,0.000694443
-10,1.2,-0.00325465,-0.0422541,0.00152096
-10,1.4,0.0149305,-0.0382932,0.00283277
-10,1.6,0.0337636,-0.0339868,0.00459013
-10,1.8,0.0515711,-0.029433,0.00656167
-10,2,0.0665303,-0.0247339,0.00832915
-10,2.2,0.076908,-0.0199927,0.00938974
-10,2.4,0.0813212,-0.0153111,0.00933781
-10,2.6,0.0789607,-0.0107863,0.00805452
-10,2.8,0.0697249,-0.00650859,0.00581155
-10,3,0.0542368,-0.00255908,0.00322577
-10,3.2,0.0337436,0.0009924,0.00107264
-10,3.4,0.00993943,0.00408882,3.42297e-05
-10,3.6,-0.0152541,0.00668723,0.000481424
-10,3.8,-0.0398936,0.00875957,0.00236713
-10,4,-0.0621793,0.0102929,0.00525223
-10,4.2,-0.0805591,0.0112894,0.00843616
-10,4.4,-0.0937783,0.0117657,0.0111395
-10,4.6,-0.100892,0.0117519,0.0126886
-10,4.8,-0.101274,0.0112903,0.0126708
-10,5,-0.0946493,0.0104335,0.0110424
-10,5.2,-0.0811591,0.00924265,0.00817248
-10,5.4,-0.0614686,0.00778519,0.00479609
