x,y,test(x)
-4,-0.0584072,0.00496485
-3.98,-0.0558595,0.00532798
-3.96,-0.0532637,0.00571515
-3.94,-0.0506187,0.00612775
-3.92,-0.0479239,0.00656723
-3.9,-0.0451782,0.00703511
-3.88,-0.0423808,0.00753299
-3.86,-0.0395312,0.00806254
-3.84,-0.036628,0.00862547
-3.82,-0.0336708,0.00922361
-3.8,-0.0306586,0.00985884
-3.78,-0.0275905,0.0105331
-3.76,-0.0244652,0.0112485
-3.74,-0.0212826,0.0120072
-3.72,-0.0180412,0.0128113
-3.7,-0.0147402,0.0136631
-3.68,-0.0113788,0.014565
-3.66,-0.00795597,0.0155196
-3.64,-0.00447077,0.0165293
-3.62,-0.000922084,0.0175968
-3.6,0.00269061,0.0187248
-3.58,0.00636858,0.0199161
-3.56,0.0101128,0.0211738
-3.54,0.0139242,0.0225007
-3.52,0.0178036,0.0239
-3.5,0.0217522,0.0253749
-3.48,0.0257708,0.0269286
-3.46,0.0298606,0.0285645
-3.44,0.0340224,0.0302861
-3.42,0.0382574,0.0320969
-3.4,0.0425662,0.0340006
-3.38,0.0469505,0.0360007
-3.36,0.0514105,0.0381013
-3.34,0.0559479,0.0403059
-3.32,0.0605631,0.0426188
-3.3,0.0652575,0.0450437
-3.28,0.0700321,0.0475849
-3.26,0.0748874,0.0502464
-3.24,0.0798252,0.0530325
-3.22,0.0848457,0.0559473
-3.2,0.0899506,0.0589953
-3.18,0.0951405,0.0621807
-3.16,0.100416,0.0655078
-3.14,0.105779,0.0689812
-3.12,0.111231,0.0726052
-3.1,0.11677,0.0763842
-3.08,0.1224,0.0803227
-3.06,0.12812,0.084425
-3.04,0.133932,0.0886956
-3.02,0.139837,0.0931389
-3,0.145836,0.0977592
-2.98,0.151928,0.102561
-2.96,0.158116,0.107548
-2.94,0.1644,0.112725
-2.92,0.170781,0.118095
-2.9,0.177259,0.123663
-2.88,0.183836,0.129433
-2.86,0.190512,0.135409
-2.84,0.197288,0.141593
-2.82,0.204165,0.14799
-2.8,0.211143,0.154602
-2.78,0.218222,0.161433
-2.76,0.225404,0.168486
-2.74,0.232689,0.175763
-2.72,0.240078,0.183267
-2.7,0.24757,0.191
-2.68,0.255166,0.198964
-2.66,0.262868,0.20716
-2.64,0.270674,0.21559
-2.62,0.278585,0.224256
-2.6,0.286602,0.233157
-2.58,0.294725,0.242294
-2.56,0.302952,0.251667
-2.54,0.311286,0.261276
-2.52,0.319725,0.271119
-2.5,0.32827,0.281196
-2.48,0.33692,0.291505
-2.46,0.345675,0.302044
-2.44,0.354535,0.31281
-2.42,0.363498,0.323801
-2.4,0.372565,0.335012
-2.38,0.381735,0.34644
-2.36,0.391007,0.358081
-2.34,0.40038,0.369928
-2.32,0.409853,0.381977
-2.3,0.419426,0.394222
-2.28,0.429096,0.406655
-2.26,0.438863,0.41927
-2.24,0.448725,0.432059
-2.22,0.45868,0.445013
-2.2,0.468727,0.458124
-2.18,0.478863,0.471382
-2.16,0.489086,0.484777
-2.14,0.499394,0.498298
-2.12,0.509786,0.511935
-2.1,0.520257,0.525675
-2.08,0.530805,0.539505
-2.06,0.541427,0.553415
-2.04,0.552119,0.567389
-2.02,0.562878,0.581414
-2,0.573701,0.595475
-1.98,0.584583,0.609558
-1.96,0.595519,0.623648
-1.94,0.606507,0.637727
-1.92,0.617539,0.651781
-1.9,0.628611,0.665793
-1.88,0.639718,0.679744
-1.86,0.650854,0.693619
-1.84,0.662012,0.707398
-1.82,0.673187,0.721065
-1.8,0.68437,0.7346
-1.78,0.695555,0.747985
-1.76,0.706735,0.761202
-1.74,0.7179,0.774231
-1.72,0.729042,0.787054
-1.7,0.740152,0.799651
-1.68,0.751221,0.812003
-1.66,0.762238,0.82409
-1.64,0.773193,0.835895
-1.62,0.784074,0.847398
-1.6,0.79487,0.858579
-1.58,0.805568,0.869421
-1.56,0.816156,0.879905
-1.54,0.82662,0.890012
-1.52,0.836946,0.899725
-1.5,0.847118,0.909027
-1.48,0.857121,0.9179
-1.46,0.86694,0.926328
-1.44,0.876557,0.934296
-1.42,0.885954,0.941787
-1.4,0.895114,0.948786
-1.38,0.904016,0.955281
-1.36,0.912642,0.961257
-1.34,0.920971,0.966703
-1.32,0.928981,0.971605
-1.3,0.936651,0.975954
-1.28,0.943958,0.97974
-1.26,0.950879,0.982952
-1.24,0.957391,0.985585
-1.22,0.963469,0.98763
-1.2,0.969088,0.989081
-1.18,0.974223,0.989933
-1.16,0.978849,0.990184
-1.14,0.982939,0.98983
-1.12,0.98647,0.988869
-1.1,0.989413,0.987302
-1.08,0.991744,0.98513
-1.06,0.993438,0.982355
-1.04,0.994469,0.978979
-1.02,0.994814,0.975009
-1,0.994448,0.970449
-0.98,0.99335,0.965307
-0.96,0.991499,0.959591
-0.94,0.988876,0.953311
-0.92,0.985462,0.946478
-0.9,0.981243,0.939103
-0.88,0.976206,0.931201
-0.86,0.97034,0.922785
-0.84,0.963638,0.91387
-0.82,0.956096,0.904475
-0.8,0.947713,0.894616
-0.78,0.938492,0.884312
-0.76,0.92844,0.873583
-0.74,0.91757,0.86245
-0.72,0.905895,0.850935
-0.7,0.893438,0.839059
-0.68,0.880222,0.826848
-0.66,0.866278,0.814324
-0.64,0.85164,0.801513
-0.62,0.836347,0.78844
-0.6,0.820443,0.775131
-0.58,0.803975,0.761613
-0.56,0.786997,0.747913
-0.54,0.769565,0.734059
-0.52,0.751737,0.720077
-0.5,0.733578,0.705998
-0.48,0.715151,0.691847
-0.46,0.696526,0.677654
-0.44,0.677771,0.663447
-0.42,0.658957,0.649255
-0.4,0.640155,0.635104
-0.38,0.621434,0.621024
-0.36,0.602866,0.607041
-0.34,0.584518,0.593184
-0.32,0.566457,0.579478
-0.3,0.548747,0.565951
-0.28,0.531451,0.552627
-0.26,0.514625,0.539532
-0.24,0.498323,0.526691
-0.22,0.482597,0.514126
-0.2,0.467491,0.501862
-0.18,0.453047,0.489919
-0.16,0.439299,0.478318
-0.14,0.426282,0.46708
-0.12,0.414019,0.456223
-0.1,0.402534,0.445766
-0.08,0.391842,0.435723
-0.06,0.381956,0.426112
-0.04,0.372883,0.416946
-0.02,0.364625,0.408238
0,0.357183,0.4
0.02,0.350551,0.392242
0.04,0.344719,0.384972
0.06,0.339677,0.378199
0.08,0.335408,0.371928
0.1,0.331895,0.366165
0.12,0.329116,0.360912
0.14,0.327049,0.356172
0.16,0.32567,0.351946
0.18,0.324951,0.348233
0.2,0.324864,0.34503
0.22,0.325381,0.342334
0.24,0.326469,0.340141
0.26,0.328099,0.338445
0.28,0.330239,0.337238
0.3,0.332856,0.336511
0.32,0.335917,0.336255
0.34,0.339391,0.33646
0.36,0.343244,0.337112
0.38,0.347446,0.338199
0.4,0.351962,0.339707
0.42,0.356762,0.34162
0.44,0.361814,0.343924
0.46,0.367088,0.3466
0.48,0.372554,0.349631
0.5,0.378183,0.352999
0.52,0.383946,0.356684
0.54,0.389816,0.360668
0.56,0.395765,0.364929
0.58,0.401769,0.369447
0.6,0.407802,0.374201
0.62,0.41384,0.379169
0.64,0.41986,0.38433
0.66,0.42584,0.389661
0.68,0.431759,0.39514
0.7,0.437598,0.400745
0.72,0.443338,0.406453
0.74,0.44896,0.412243
0.76,0.454448,0.418092
0.78,0.459786,0.423979
0.8,0.46496,0.42988
0.82,0.469956,0.435776
0.84,0.47476,0.441644
0.86,0.479361,0.447464
0.88,0.48375,0.453216
0.9,0.487915,0.45888
0.92,0.491848,0.464436
0.94,0.49554,0.469867
0.96,0.498986,0.475153
0.98,0.502179,0.480278
1,0.505113,0.485225
1.02,0.507784,0.489977
1.04,0.510189,0.494521
1.06,0.512324,0.498841
1.08,0.514187,0.502924
1.1,0.515777,0.506757
1.12,0.517093,0.510329
1.14,0.518135,0.513629
1.16,0.518903,0.516646
1.18,0.519398,0.519372
1.2,0.519623,0.521798
1.22,0.519578,0.523918
1.24,0.519268,0.525724
1.26,0.518694,0.527212
1.28,0.51786,0.528377
1.3,0.516771,0.529215
1.32,0.51543,0.529723
1.34,0.513843,0.5299
1.36,0.512014,0.529745
1.38,0.509948,0.529257
1.4,0.507651,0.528438
1.42,0.50513,0.527288
1.44,0.502389,0.525811
1.46,0.499435,0.524008
1.48,0.496275,0.521884
1.5,0.492915,0.519444
1.52,0.489361,0.516692
1.54,0.485621,0.513634
1.56,0.481701,0.510276
1.58,0.477609,0.506626
1.6,0.473351,0.502691
1.62,0.468933,0.498479
1.64,0.464365,0.493999
1.66,0.459651,0.489258
1.68,0.4548,0.484268
1.7,0.449818,0.479036
1.72,0.444712,0.473574
1.74,0.43949,0.467891
1.76,0.434157,0.461998
1.78,0.428722,0.455906
1.8,0.42319,0.449626
1.82,0.417569,0.443168
1.84,0.411864,0.436545
1.86,0.406083,0.429767
1.88,0.400231,0.422845
1.9,0.394314,0.415791
1.92,0.388339,0.408617
1.94,0.382312,0.401334
1.96,0.376239,0.393952
1.98,0.370125,0.386483
2,0.363976,0.378939
2.02,0.357796,0.371329
2.04,0.351592,0.363666
2.06,0.345368,0.355958
2.08,0.33913,0.348218
2.1,0.332881,0.340454
2.12,0.326628,0.332676
2.14,0.320373,0.324895
2.16,0.314122,0.31712
2.18,0.307879,0.309359
2.2,0.301647,0.301622
2.22,0.295431,0.293917
2.24,0.289234,0.286251
2.26,0.28306,0.278634
2.28,0.276912,0.271072
2.3,0.270793,0.263572
2.32,0.264706,0.256141
2.34,0.258655,0.248786
